parteien_id;thesen_id;parteien_positionen
0;0;0
1;0;1
2;0;1
3;0;1
4;0;0
5;0;1
6;0;-1
7;0;1
8;0;1
9;0;1
10;0;-1
11;0;-1
12;0;1
13;0;1
14;0;1
15;0;1
16;0;0
17;0;1
18;0;0
19;0;-1
20;0;-1
0;1;0
1;1;-1
2;1;-1
3;1;-1
4;1;-1
5;1;1
6;1;1
7;1;0
8;1;1
9;1;-1
10;1;0
11;1;-1
12;1;1
13;1;-1
14;1;0
15;1;-1
16;1;1
17;1;-1
18;1;0
19;1;-1
20;1;-1
0;2;-1
1;2;-1
2;2;1
3;2;-1
4;2;1
5;2;-1
6;2;-1
7;2;-1
8;2;-1
9;2;1
10;2;-1
11;2;1
12;2;-1
13;2;-1
14;2;-1
15;2;-1
16;2;-1
17;2;1
18;2;0
19;2;-1
20;2;-1
0;3;1
1;3;1
2;3;1
3;3;1
4;3;-1
5;3;1
6;3;1
7;3;1
8;3;1
9;3;1
10;3;1
11;3;1
12;3;1
13;3;0
14;3;1
15;3;1
16;3;1
17;3;1
18;3;0
19;3;1
20;3;1
0;4;1
1;4;1
2;4;1
3;4;1
4;4;1
5;4;-1
6;4;1
7;4;-1
8;4;1
9;4;1
10;4;1
11;4;1
12;4;-1
13;4;0
14;4;0
15;4;1
16;4;0
17;4;1
18;4;0
19;4;1
20;4;1
0;5;1
1;5;1
2;5;1
3;5;1
4;5;1
5;5;-1
6;5;-1
7;5;-1
8;5;-1
9;5;-1
10;5;-1
11;5;1
12;5;-1
13;5;-1
14;5;-1
15;5;-1
16;5;0
17;5;-1
18;5;0
19;5;-1
20;5;-1
0;6;1
1;6;-1
2;6;-1
3;6;1
4;6;-1
5;6;1
6;6;1
7;6;-1
8;6;1
9;6;-1
10;6;1
11;6;-1
12;6;1
13;6;1
14;6;1
15;6;-1
16;6;1
17;6;0
18;6;0
19;6;-1
20;6;1
0;7;-1
1;7;1
2;7;0
3;7;1
4;7;1
5;7;-1
6;7;0
7;7;-1
8;7;-1
9;7;1
10;7;0
11;7;1
12;7;-1
13;7;0
14;7;-1
15;7;1
16;7;-1
17;7;-1
18;7;0
19;7;0
20;7;-1
0;8;-1
1;8;0
2;8;1
3;8;-1
4;8;1
5;8;-1
6;8;-1
7;8;-1
8;8;-1
9;8;-1
10;8;1
11;8;1
12;8;-1
13;8;-1
14;8;0
15;8;1
16;8;-1
17;8;-1
18;8;0
19;8;1
20;8;-1
0;9;1
1;9;-1
2;9;-1
3;9;1
4;9;-1
5;9;1
6;9;-1
7;9;-1
8;9;1
9;9;-1
10;9;1
11;9;-1
12;9;1
13;9;-1
14;9;1
15;9;-1
16;9;1
17;9;-1
18;9;0
19;9;-1
20;9;1
0;10;-1
1;10;-1
2;10;-1
3;10;-1
4;10;-1
5;10;1
6;10;-1
7;10;1
8;10;1
9;10;-1
10;10;1
11;10;-1
12;10;1
13;10;1
14;10;1
15;10;1
16;10;0
17;10;1
18;10;0
19;10;-1
20;10;1
0;11;1
1;11;1
2;11;-1
3;11;-1
4;11;1
5;11;-1
6;11;-1
7;11;0
8;11;-1
9;11;1
10;11;-1
11;11;0
12;11;-1
13;11;-1
14;11;0
15;11;1
16;11;0
17;11;-1
18;11;0
19;11;0
20;11;-1
0;12;0
1;12;-1
2;12;-1
3;12;-1
4;12;-1
5;12;1
6;12;-1
7;12;1
8;12;1
9;12;1
10;12;1
11;12;-1
12;12;1
13;12;1
14;12;1
15;12;-1
16;12;0
17;12;0
18;12;0
19;12;1
20;12;-1
0;13;1
1;13;0
2;13;-1
3;13;1
4;13;-1
5;13;1
6;13;-1
7;13;0
8;13;1
9;13;-1
10;13;1
11;13;-1
12;13;1
13;13;0
