thesen_id;thema;these
0;"'Kostenlose Endgeräte';";"'Das Land soll allen Schülerinnen und Schülern kostenlos digitale Endgeräte zur Verfügung stellen.';"
1;"'Verbrennungsmotoren';";'Baden-Württemberg soll sich dafür einsetzen
2;"'Mietpreisbremse';";"'In Baden-Württemberg soll die Mietpreisbremse abgeschafft werden.';"
3;"'Krankenhäuser in öffentlicher Hand';";"'Es sollen wieder mehr Krankenhäuser in öffentlicher Hand sein.';"
4;"'Bodycams';";"'Die baden-württembergische Polizei soll weiterhin Körperkameras („Bodycams“) einsetzen dürfen.';"
5;"'Fünfprozenthürde';";"'Die Fünfprozenthürde bei Landtagswahlen in Baden-Württemberg soll beibehalten werden.';"
6;"'Generelles Tempolimit';";"'Auf allen Autobahnen in Baden-Württemberg soll ein generelles Tempolimit gelten.';"
7;"'Sanktionen bei Hartz IV';";'Empfängerinnen und Empfängern von Arbeitslosengeld II („Hartz IV“) sollen auch weiterhin Leistungen gekürzt werden
8;"'Windkraftanlagen';";"'In Baden-Württemberg sollen neue Windkraftanlagen nur in einem Abstand von mindestens einem Kilometer von Wohnbebauung errichtet werden dürfen.';"
9;"'Frauenquote in Landesbetrieben';";"'Bei der Besetzung von Führungspositionen in landeseigenen Betrieben soll eine verbindliche Frauenquote gelten.';"
10;"'Abschaffung des Religionsunterrichts';";"'Der konfessionelle Religionsunterricht an öffentlichen Schulen in Baden-Württemberg soll abgeschafft werden.';"
11;"'Freiwilliger Polizeidienst';";"'Der Freiwillige Polizeidienst in Baden-Württemberg soll erhalten bleiben.';"
12;"'Entgeltfreier ÖPNV';";"'In Baden-Württemberg soll die Nutzung des öffentlichen Personennahverkehrs entgeltfrei sein.';"
13;"'Gemeinschaftsschulen';";"'In Baden-Württemberg soll es mehr Gemeinschaftsschulen geben.';"
14;"'Verlust des Schutzstatus';";'Baden-Württemberg soll sich dafür einsetzen
15;"'Ausbildungsplatzabgabe';";'Betriebe
16;"'Ökologische Landwirtschaft';";"'Baden-Württemberg soll zukünftig nur die ökologische Landwirtschaft fördern.';"
17;"'Kinderbetreuung';";'Eltern
18;"'Schiene vor Straße';";"'Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.';"
19;"'Kostenlose Deutschkurse';";"'In Baden-Württemberg sollen weiterhin kostenlose Deutschkurse für Zugewanderte angeboten werden.';"
20;"'Digitalisierungsministerium';";"'In Baden-Württemberg soll es ein eigenständiges Ministerium für Digitalisierung geben.';"
21;"'Cannabis';";"'Auch der Besitz geringer Mengen Cannabis soll in Baden-Württemberg weiterhin strafrechtlich verfolgt werden.';"
22;"'Kostenloses Schulessen';";"'Das Mittagessen soll für alle Schülerinnen und Schüler an baden-württembergischen Schulen kostenlos sein.';"
23;"'Zweistimmenwahlrecht';";"'Bei Landtagswahlen in Baden-Württemberg soll man – wie bei der Bundestagswahl – zwei Stimmen vergeben können.';"
24;"'Photovoltaik auf Wohngebäuden';";"'Beim Bau neuer Wohngebäude soll die Errichtung von Photovoltaik-Anlagen verpflichtend sein.';"
25;"'Verbindliche Grundschulempfehlung';";"'Beim Wechsel auf die weiterführende Schule soll die Empfehlung der Grundschullehrerinnen und Grundschullehrer verbindlich sein.';"
26;"'Beobachtung der Querdenken-Gruppierung';";"'Die „Querdenken“-Gruppierung soll weiterhin vom Landesamt für Verfassungsschutz Baden-Württemberg beobachtet werden.';"
27;"'Studiengebühren';";"'Baden-Württemberg soll die Studiengebühren für alle internationalen Studierenden abschaffen.';"
28;"'Prüfung der Klimaverträglichkeit';";"'In Baden-Württemberg soll jedes Landesgesetz vor der Verabschiedung auf seine Klimaverträglichkeit hin geprüft werden.';"
29;"'Verdachtsunabhängige Personenkontrollen';";"'In Baden-Württemberg soll die Polizei auch verdachtsunabhängige Personenkontrollen durchführen dürfen.';"
30;"'Recht auf Homeoffice';";'Baden-Württemberg soll sich dafür einsetzen
31;"'Förderschulen';";"'In Baden-Württemberg sollen die Sonderpädagogischen Bildungs- und Beratungszentren („Förderschulen“) für Schülerinnen und Schüler mit Behinderungen erhalten bleiben.';"
32;"'Finanzierung der Corona-Hilfen';";"'Vermögende sollen über eine einmalige Abgabe einen Teil der corona-bedingten Wirtschaftshilfen finanzieren.';"
33;"'Anwerbung von Pflegekräften';";"'Das Land soll Pflegekräfte aus dem Ausland anwerben.';"
34;"'5G-Mobilfunknetz';";"'Das 5G-Mobilfunknetz soll schnellstmöglich ausgebaut werden.';"
35;"'Wahlalter';";"'Das Wahlalter bei Landtagswahlen soll auf 16 Jahre gesenkt werden.';"
36;"'Kameraüberwachung in Schlachthöfen';";'Baden-Württemberg soll sich dafür einsetzen
37;"'Innerdeutsche Flüge';";'Das Land soll sich dafür einsetzen
